Id,ACC_Graduated_Status__c,SoldDate__c,AOV_Band__c
0013000001Fg45rAAB,,1/15/14,$10k-50k
0013000001FKplSAAT,,1/1/14,$10k-50k
0013000001FKpiOAAT,,1/1/14,$50k-100k
0013000001FKrFEAA1,,2/15/14,$10k-50k
0013000001EZWC0AAP,Failed,12/18/13,$10k-50k
0013000001FKrZxAAL,,12/31/13,$10k-50k
0013000001EZVKoAAP,,1/21/14,$10k-50k
0013000001FKqMiAAL,,2/14/14,$10k-50k
0013000001Fg89uAAB,,2/2/14,$10k-50k
0013000001Fg8MKAAZ,,12/26/13,$10k-50k
0013000001EZVtiAAH,,2/10/14,$10k-50k
0013000001Fg7FrAAJ,,1/15/14,$10k-50k
0013000001Fg8pZAAR,,1/31/14,$10k-50k
0013000001FiS8iAAF,,2/15/14,$10k-50k
0013000001CDwxIAAT,,1/8/14,$10k-50k
0013000001CDx52AAD,,2/13/14,$10k-50k
0013000001FiVTxAAN,,2/14/14,$10k-50k
0013000001CDwIiAAL,,12/20/13,$10k-50k
0013000001FbZGrAAN,,2/15/14,$10k-50k
0013000001FbZHVAA3,,2/15/14,$10k-50k
0013000001CDw3xAAD,Failed,12/17/13,$10k-50k
0013000001CDwLnAAL,,1/15/14,$10k-50k
0013000001CDvAYAA1,,1/1/14,$10k-50k
0013000001FaiDKAAZ,,2/2/14,$10k-50k
0013000001Fa41lAAB,,2/16/14,$10k-50k
0013000001FbB3LAAV,,1/16/14,$10k-50k
0013000001FZsqNAAT,,2/14/14,$50k-100k
0013000001Fj69HAAR,,1/17/14,$10k-50k
0013000001FanUMAAZ,,1/26/14,$10k-50k
0013000001Fa1VTAAZ,,1/16/14,$50k-100k
0013000001Fb5hpAAB,,1/31/14,$10k-50k
0013000001FiwVZAAZ,,1/10/14,$10k-50k
0013000001FiwoVAAR,,2/3/14,$10k-50k
0013000001FaitVAAR,,2/13/14,$100k-200k
0013000001Fj2RNAAZ,,2/2/14,$50k-100k
0013000001FizUVAAZ,,1/15/14,$10k-50k
0013000001FiyqaAAB,,2/15/14,$10k-50k
0013000001Fiuv6AAB,,2/10/14,$10k-50k
0013000001FiuurAAB,,1/14/14,$10k-50k
0013000001FirimAAB,,2/15/14,$10k-50k
0013000001Fiu7yAAB,,1/2/14,$10k-50k
0013000001Fisk5AAB,,2/3/14,$10k-50k
0013000001FitMxAAJ,,1/20/14,$10k-50k
0013000001CDxdiAAD,,2/15/14,$10k-50k
0013000001CDxdxAAD,,2/13/14,$10k-50k
0013000001CDxYnAAL,Failed,12/6/13,$10k-50k
0013000001CDxFRAA1,,12/18/13,$10k-50k
0013000001CDxYdAAL,,2/13/14,$10k-50k
0013000001CDxelAAD,,2/15/14,$10k-50k
